Date,Open,High,Low,Close,Volume,Adj Close
2016-01-11,856.960022,862.409973,847.080017,858.070007,4607290000,858.070007
2016-01-08,885.25,885.25,853.849976,855.580017,4664940000,855.580017
2016-01-07,885.25,885.25,862.73999,864.47998,5076590000,864.47998
2016-01-06,896.27002,896.27002,881.890015,886.780029,4336660000,886.780029
2016-01-05,896.809998,900.539978,891.98999,897.659973,3706620000,897.659973
2016-01-04,909.530029,909.530029,886.099976,896.539978,4304880000,896.539978
2015-12-31,919.780029,920.070007,911.27002,911.429993,2655330000,911.429993
2015-12-30,927.059998,927.059998,920.099976,920.77002,2367430000,920.77002
2015-12-29,918.289978,929.059998,918.289978,927.400024,2542000000,927.400024
2015-12-28,917.659973,917.659973,911.940002,917.150024,2492510000,917.150024
2015-12-24,920.48999,921.719971,917.98999,918.840027,1411860000,918.840027
2015-12-23,911.679993,921.119995,911.679993,920.75,3484090000,920.75
2015-12-22,903.469971,911.969971,902.799988,910.440002,3520860000,910.440002
2015-12-21,897.690002,904.159973,895.650024,902.969971,3760280000,902.969971
2015-12-18,913.369995,913.369995,895.940002,896.049988,6683070000,896.049988
2015-12-17,928.039978,929.47998,913.640015,913.77002,4327390000,913.77002
2015-12-16,914.969971,929.52002,913.289978,927.77002,4635450000,927.77002
2015-12-15,905.52002,919.210022,905.52002,914.090027,4353540000,914.090027
2015-12-14,898.830017,904.940002,890.200012,904.429993,4612440000,904.429993
2015-12-11,915.450012,915.450012,897.059998,898.48999,4301060000,898.48999
2015-12-10,914.47998,924.080017,913.789978,916.840027,3715150000,916.840027
2015-12-09,920.650024,928.77002,908.97998,914.380005,4385250000,914.380005
2015-12-08,926.659973,926.659973,916.530029,921.179993,4173570000,921.179993
2015-12-07,933.72998,933.72998,922.650024,927.76001,4043820000,927.76001
2015-12-04,914.50,934.880005,914.50,933.77002,4214910000,933.77002
2015-12-03,927.51001,929.599976,910.909973,914.070007,4306490000,914.070007
2015-12-02,936.419983,937.900024,925.950012,927.02002,3950640000,927.02002
2015-12-01,927.080017,937.02002,927.080017,936.690002,3712120000,936.690002
2015-11-30,931.719971,933.280029,926.440002,926.440002,4245030000,926.440002
2015-11-27,931.320007,933.01001,929.200012,931.530029,1466840000,931.530029
2015-11-25,931.929993,933.590027,930.710022,931.349976,2852940000,931.349976
2015-11-24,930.419983,934.400024,923.76001,931.929993,3884930000,931.929993
2015-11-23,933.200012,935.22998,928.580017,931.039978,3587980000,931.039978
2015-11-20,930.210022,936.919983,930.210022,932.98999,3929600000,932.98999
2015-11-19,930.97998,932.809998,929.039978,929.97998,3628110000,929.97998
2015-11-18,916.02002,931.690002,916.02002,930.900024,3926390000,930.900024
2015-11-17,916.590027,922.330017,913.380005,915.450012,4427350000,915.450012
2015-11-16,902.429993,916.539978,901.280029,916.50,3741240000,916.50
2015-11-13,913.789978,913.789978,902.659973,903.039978,4278750000,903.039978
2015-11-12,926.27002,926.27002,914.130005,914.299988,4016370000,914.299988
2015-11-11,929.590027,932.900024,926.890015,926.960022,3692410000,926.960022
2015-11-10,927.840027,930.27002,923.900024,929.090027,3821440000,929.090027
2015-11-09,936.50,936.50,923.809998,928.25,3882350000,928.25
2015-11-06,936.190002,938.039978,930.200012,937.570007,4369020000,937.570007
2015-11-05,937.52002,941.23999,933.070007,936.539978,4051890000,936.539978
2015-11-04,941.590027,943.440002,935.640015,938.00,4078870000,938.00
2015-11-03,937.299988,944.219971,934.909973,941.179993,4272060000,941.179993
2015-11-02,927.340027,938.50,927.27002,937.700012,3760020000,937.700012
2015-10-30,933.179993,934.169983,926.72998,926.73999,4256200000,926.73999
2015-10-29,932.98999,934.590027,930.390015,933.090027,4008940000,933.090027
2015-10-28,922.849976,933.580017,921.190002,933.570007,4698110000,933.570007
2015-10-27,923.48999,925.049988,920.070007,922.590027,4216880000,922.590027
2015-10-26,925.719971,925.880005,922.390015,924.23999,3385800000,924.23999
2015-10-23,915.039978,928.51001,915.039978,925.719971,4108460000,925.719971
2015-10-22,896.849976,912.75,896.849976,911.669983,4430850000,911.669983
2015-10-21,900.820007,903.22998,894.820007,895.570007,3627790000,895.570007
2015-10-20,901.77002,903.440002,897.719971,899.630005,3331500000,899.630005
2015-10-19,900.690002,902.22998,896.130005,901.869995,3287320000,901.869995
2015-10-16,896.549988,901.400024,895.47998,901.23999,3595430000,901.23999
2015-10-15,883.409973,896.710022,883.409973,896.52002,3746290000,896.52002
2015-10-14,886.710022,888.890015,880.690002,882.25,3644590000,882.25
2015-10-13,891.049988,894.26001,886.030029,886.880005,3401920000,886.880005
2015-10-12,891.169983,892.390015,888.76001,891.909973,2893250000,891.909973
2015-10-09,889.919983,893.080017,887.400024,890.849976,3706900000,890.849976
2015-10-08,882.349976,891.059998,878.380005,889.780029,3939140000,889.780029
2015-10-07,877.119995,884.900024,874.830017,882.950012,4666470000,882.950012
2015-10-06,877.719971,880.609985,872.400024,876.030029,4202400000,876.030029
2015-10-05,863.469971,878.820007,863.469971,877.75,4334490000,877.75
2015-10-02,849.349976,862.27002,836.580017,862.27002,4378570000,862.27002
2015-10-01,847.940002,851.47998,839.940002,850.349976,3983600000,850.349976
2015-09-30,833.640015,848.26001,833.640015,848.26001,4525070000,848.26001
2015-09-29,831.669983,839.719971,826.72998,832.549988,4132390000,832.549988
2015-09-28,850.929993,850.929993,830.539978,831.650024,4326660000,831.650024
2015-09-25,853.840027,861.869995,847.690002,851.900024,3721870000,851.900024
2015-09-24,853.390015,854.580017,841.570007,852.340027,4091530000,852.340027
2015-09-23,856.51001,859.390015,851.880005,854.809998,3190530000,854.809998
2015-09-22,863.77002,863.77002,849.789978,856.23999,3808260000,856.23999
2015-09-21,862.609985,870.799988,860.299988,865.77002,3269350000,865.77002
2015-09-18,875.440002,875.440002,859.460022,861.369995,6021240000,861.369995
2015-09-17,878.50,889.26001,873.940002,875.52002,4183790000,875.52002
2015-09-16,871.48999,879.369995,871.099976,878.469971,3630680000,878.469971
2015-09-15,860.679993,874.030029,860.679993,871.530029,3239860000,871.530029
2015-09-14,864.359985,864.380005,857.26001,859.75,3000200000,859.75
2015-09-11,858.890015,863.01001,853.52002,863.01001,3218590000,863.01001
2015-09-10,853.22998,864.719971,851.690002,859.150024,3626320000,859.150024
2015-09-09,866.630005,874.869995,851.419983,853.409973,3652120000,853.409973
